iter	RMSE
0	2.121534948
1	2.021973486
2	1.925246627
3	1.848910366
4	1.768726297
5	1.692569093
6	1.629794651
7	1.575855169
8	1.520395094
9	1.46875444
10	1.428271418
11	1.395644445
12	1.359868434
13	1.327950767
14	1.297719138
15	1.275773324
16	1.26034055
17	1.233265563
18	1.203210965
19	1.180477438
20	1.158630663
21	1.14102917
22	1.124051075
23	1.107071297
24	1.090913134
25	1.077136089
26	1.06776404
27	1.055032735
28	1.045286931
29	1.029222084
30	1.020105428
31	1.009839594
32	1.002745627
33	0.9912196097
34	0.9834185456
35	0.9706077465
36	0.9643410367
37	0.9503541887
38	0.9364953042
39	0.9251215972
40	0.916792419
41	0.9102340231
42	0.9024038561
43	0.892444993
44	0.8870276625
45	0.8776606752
46	0.8708711959
47	0.8673365797
48	0.8600233101
49	0.8513430618
50	0.8441956497
51	0.8335703266
52	0.827225609
53	0.8188490036
54	0.8155235424
55	0.8088390871
56	0.8032089205
57	0.7984299804
58	0.7937858733
59	0.7910285111
60	0.7815016148
61	0.7764611784
62	0.7731108171
63	0.7672291312
64	0.7623336247
65	0.7593143254
66	0.7546380421
67	0.7493944622
68	0.7444901162
69	0.7373583459
70	0.7320147006
71	0.7292336361
72	0.7257982478
73	0.7224256087
74	0.7196213289
75	0.7158813462
76	0.71351021
77	0.7091371036
78	0.705838827
79	0.6981240711
80	0.6941607543
81	0.6915245973
82	0.6891573442
83	0.6863656796
84	0.6839190351
85	0.6795869499
86	0.6767718039
87	0.6742918004
88	0.672059796
89	0.6693980727
90	0.6667111371
91	0.6647457941
92	0.6619147294
93	0.6579861815
94	0.6561478413
95	0.652333759
96	0.6502623269
97	0.6463521873
98	0.6447453876
99	0.6430434373
100	0.6401910365
101	0.6387845744
102	0.6365988693
103	0.6347503318
104	0.633474358
105	0.6321812049
106	0.6294932918
107	0.6269073397
108	0.6245503444
109	0.6212809884
110	0.6200305865
111	0.6169878646
112	0.6147624274
113	0.6110184913
114	0.6074525816
115	0.6036382351
116	0.6019760342
117	0.6001037081
118	0.5962840436
119	0.5923448089
120	0.5912549491
